* Measurement data saved by REW V5.13 Beta 7
* Source: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), Left channel, volume: 0.530
* Format:   1M Log Swept Sine, 1 sweep at -23.0 dB FS
* Dated: 12-Sep-2015 19:46:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sep 12 19:46:57
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
258.179 96.528 45.278
258.545 96.827 45.181
258.911 97.120 44.602
259.277 97.380 43.529
259.644 97.580 42.034
260.010 97.697 40.267
260.376 97.719 38.438
260.742 97.648 36.781
261.108 97.503 35.507
261.475 97.312 34.757
261.841 97.109 34.563
262.207 96.926 34.858
262.573 96.778 35.512
262.939 96.671 36.404
263.306 96.603 37.459
263.672 96.575 38.634
264.038 96.591 39.883
264.404 96.653 41.125
264.771 96.758 42.258
265.137 96.891 43.201
265.503 97.033 43.944
265.869 97.168 44.565
266.235 97.293 45.194
266.602 97.419 45.954
266.968 97.570 46.886
267.334 97.770 47.911
267.700 98.032 48.851
268.066 98.349 49.520
268.433 98.703 49.805
268.799 99.073 49.681
269.165 99.449 49.165
269.531 99.825 48.250
269.897 100.190 46.887
270.264 100.527 45.033
270.630 100.806 42.716
270.996 101.003 40.073
271.362 101.102 37.336
271.729 101.111 34.763
272.095 101.056 32.556
272.461 100.976 30.772
272.827 100.906 29.305
273.193 100.858 27.948
273.560 100.819 26.527
273.926 100.766 24.992
274.292 100.681 23.419
274.658 100.560 21.936
275.024 100.415 20.624
275.391 100.258 19.473
275.757 100.096 18.412
276.123 99.918 17.377
276.489 99.708 16.388
276.855 99.454 15.561
277.222 99.155 15.068
277.588 98.830 15.067
277.954 98.506 15.646
278.320 98.216 16.790
278.687 97.986 18.393
279.053 97.834 20.295
279.419 97.764 22.325
279.785 97.771 24.338
280.151 97.846 26.229
280.518 97.978 27.943
280.884 98.160 29.447
281.250 98.389 30.708
281.616 98.661 31.669
281.982 98.966 32.258
282.349 99.293 32.421
282.715 99.622 32.147
283.081 99.940 31.472
283.447 100.237 30.455
283.813 100.509 29.147
284.180 100.754 27.576
284.546 100.969 25.746
284.912 101.145 23.663
285.278 101.273 21.356
285.645 101.341 18.884
286.011 101.342 16.339
286.377 101.273 13.827
286.743 101.133 11.457
287.109 100.929 9.335
287.476 100.667 7.567
287.842 100.359 6.258
288.208 100.022 5.510
288.574 99.683 5.397
288.940 99.373 5.935
289.307 99.129 7.048
289.673 98.980 8.558
290.039 98.945 10.215
290.405 99.023 11.743
290.771 99.203 12.880
291.138 99.457 13.413
291.504 99.749 13.211
291.870 100.035 12.247
292.236 100.276 10.609
292.603 100.443 8.482
292.969 100.524 6.101
293.335 100.522 3.698
293.701 100.458 1.438
294.067 100.356 -0.620
294.434 100.238 -2.528
294.800 100.111 -4.396
295.166 99.966 -6.315
295.532 99.785 -8.287
295.898 99.554 -10.215
296.265 99.273 -11.954
296.631 98.956 -13.381
296.997 98.623 -14.456
297.363 98.292 -15.235
297.729 97.970 -15.817
298.096 97.647 -16.264
298.462 97.313 -16.551
298.828 96.968 -16.579
299.194 96.623 -16.255
299.561 96.303 -15.566
299.927 96.030 -14.606
300.293 95.810 -13.524
300.659 95.639 -12.448
301.025 95.511 -11.442
301.392 95.422 -10.548
301.758 95.373 -9.844
302.124 95.359 -9.466
302.490 95.360 -9.552
302.856 95.345 -10.167
303.223 95.278 -11.259
303.589 95.134 -12.681
303.955 94.902 -14.260
304.321 94.581 -15.861
304.688 94.172 -17.422
305.054 93.666 -18.936
305.420 93.033 -20.374
305.786 92.222 -21.562
306.152 91.169 -22.036
306.519 89.816 -20.840
306.885 88.177 -16.234
307.251 86.528 -5.686
307.617 85.684 11.553
307.983 86.354 29.305
308.350 87.943 40.739
308.716 89.594 46.045
309.082 90.990 47.710
309.448 92.102 47.497
309.814 92.975 46.371
310.181 93.666 44.811
310.547 94.215 43.044
310.913 94.652 41.175
311.279 94.994 39.263
311.646 95.255 37.353
312.012 95.442 35.480
312.378 95.563 33.671
312.744 95.621 31.942
313.110 95.616 30.317
313.477 95.542 28.849
313.843 95.397 27.634
314.209 95.182 26.812
314.575 94.906 26.548
314.941 94.590 27.007
315.308 94.265 28.320
315.674 93.974 30.556
316.040 93.766 33.697
316.406 93.695 37.586
316.772 93.811 41.881
317.139 94.136 46.065
317.505 94.647 49.582
317.871 95.283 52.031
318.237 95.970 53.281
318.604 96.640 53.432
318.970 97.252 52.706
319.336 97.784 51.348
319.702 98.227 49.571
320.068 98.582 47.542
320.435 98.850 45.398
320.801 99.036 43.268
321.167 99.144 41.280
321.533 99.186 39.564
321.899 99.179 38.230
322.266 99.145 37.354
322.632 99.111 36.961
322.998 99.102 37.032
323.364 99.148 37.492
323.730 99.274 38.189
324.097 99.500 38.871
324.463 99.825 39.202
324.829 100.220 38.863
325.195 100.632 37.667
325.562 101.001 35.633
325.928 101.277 32.960
326.294 101.430 29.967
326.660 101.454 27.019
327.026 101.369 24.452
327.393 101.216 22.511
327.759 101.047 21.283
328.125 100.914 20.666
328.491 100.852 20.404
328.857 100.867 20.192
329.224 100.943 19.790
329.590 101.054 19.070
329.956 101.176 18.000
330.322 101.288 16.596
330.688 101.377 14.894
331.055 101.429 12.935
331.421 101.434 10.777
331.787 101.379 8.498
332.153 101.258 6.199
332.520 101.068 3.997
332.886 100.810 2.015
333.252 100.492 0.370
333.618 100.127 -0.841
333.984 99.730 -1.549
334.351 99.318 -1.712
334.717 98.908 -1.312
335.083 98.517 -0.343
335.449 98.164 1.187
335.815 97.870 3.234
336.182 97.657 5.700
336.548 97.541 8.421
336.914 97.525 11.212
337.280 97.602 13.921
337.646 97.760 16.454
338.013 97.993 18.741
338.379 98.294 20.698
338.745 98.652 22.229
339.111 99.047 23.276
339.478 99.460 23.857
339.844 99.882 24.040
340.210 100.317 23.862
340.576 100.774 23.250
340.942 101.246 22.027
341.309 101.704 20.021
341.675 102.097 17.188
342.041 102.370 13.681
342.407 102.485 9.826
342.773 102.426 6.061
343.140 102.211 2.854
343.506 101.890 0.600
343.872 101.543 -0.500
344.238 101.257 -0.558
344.604 101.095 0.006
344.971 101.071 0.651
345.337 101.152 0.948
345.703 101.291 0.696
346.069 101.443 -0.129
346.436 101.572 -1.454
346.802 101.656 -3.159
347.168 101.679 -5.086
347.534 101.636 -7.063
347.900 101.538 -8.936
348.267 101.400 -10.616
348.633 101.239 -12.102
348.999 101.066 -13.453
349.365 100.875 -14.727
349.731 100.658 -15.915
350.098 100.406 -16.931
350.464 100.125 -17.653
350.830 99.832 -17.991
351.196 99.552 -17.940
351.562 99.304 -17.581
351.929 99.099 -17.045
352.295 98.937 -16.462
352.661 98.810 -15.936
353.027 98.707 -15.548
353.394 98.610 -15.345
